date,t_max,t_min
01/01/2016,-2.1622,-4.1469
02/01/2016,3.1132,-2.1903
03/01/2016,1.8934,-2.8907
04/01/2016,-1.4289,-11.6573
05/01/2016,0.0201,-13.3976
06/01/2016,5.1338,-8.546
07/01/2016,7.3547,-2.2459
08/01/2016,4.0537,-0.0833
09/01/2016,5.9686,3.0892
10/01/2016,2.6901,-9.2279
11/01/2016,-7.8531,-12.7889
12/01/2016,-4.764,-9.9998
13/01/2016,-8.3062,-11.1634
14/01/2016,5.78,-7.5187
15/01/2016,6.1445,0.2449
16/01/2016,0.2129,-3.1719
17/01/2016,-3.5058,-14.3979
18/01/2016,-8.1176,-14.5184
19/01/2016,-0.4853,-15.6893
20/01/2016,-1.7591,-13.0068
21/01/2016,-1.5784,-7.4688
22/01/2016,1.9211,-7.9281
23/01/2016,2.7015,-10.2657
24/01/2016,1.153,-10.7571
25/01/2016,5.4115,-5.61
26/01/2016,5.4849,-2.1269
27/01/2016,-0.1573,-5.118
28/01/2016,1.8927,-2.2918
29/01/2016,2.728,-5.5007
30/01/2016,9.9762,-1.3975
31/01/2016,8.9838,2.1277
01/02/2016,9.1065,-4.6244
02/02/2016,4.099,-4.6604
03/02/2016,5.0714,0.1736
04/02/2016,0.1706,-8.0999
05/02/2016,3.4347,-8.9924
06/02/2016,4.8255,-8.8467
07/02/2016,8.6932,-2.8712
08/02/2016,5.8309,-3.5076
09/02/2016,-0.3919,-5.3173
10/02/2016,-2.7962,-13.5781
11/02/2016,-1.2959,-15.1043
12/02/2016,-3.9989,-13.3003
13/02/2016,-5.7104,-21.7725
14/02/2016,-5.4464,-23.5721
15/02/2016,-3.0464,-9.111
16/02/2016,1.0909,-3.2763
17/02/2016,3.4817,-12.4139
18/02/2016,3.7275,-17.7338
19/02/2016,16.8713,2.1982
20/02/2016,13.8714,2.7168
21/02/2016,8.6769,-0.2783
22/02/2016,7.6509,-2.3673
23/02/2016,10.0305,-5.6343
24/02/2016,0.8191,-1.2897
25/02/2016,5.1215,-3.5512
26/02/2016,4.7329,-6.5484
27/02/2016,10.6069,-3.9267
28/02/2016,16.0395,2.4663
29/02/2016,8.9405,-2.5615
01/03/2016,-2.8619,-7.1992
02/03/2016,2.3035,-13.0318
03/03/2016,0.7678,-14.0911
04/03/2016,8.9944,-17.2
05/03/2016,3.7093,-3.5547
06/03/2016,5.941,-10.0011
07/03/2016,16.8949,3.03
08/03/2016,22.7349,7.0088
09/03/2016,21.5331,11.9876
10/03/2016,13.9094,2.9229
11/03/2016,18.1639,-1.1885
12/03/2016,16.9951,1.2686
13/03/2016,10.39,6.3423
14/03/2016,11.7231,6.3357
15/03/2016,19.155,1.4393
16/03/2016,14.0586,8.0111
17/03/2016,11.5249,-0.8754
18/03/2016,12.0388,-2.7471
19/03/2016,7.5726,-0.7844
20/03/2016,8.81,-4.8666
21/03/2016,9.3699,-4.1395
22/03/2016,18.2395,-1.1903
23/03/2016,8.6931,1.4104
24/03/2016,6.758,0.5553
25/03/2016,10.7054,-2.8516
26/03/2016,14.5925,-3.74
27/03/2016,21.8698,0.1936
28/03/2016,8.3417,-0.2191
29/03/2016,16.6017,-3.4002
30/03/2016,16.2086,1.7707
31/03/2016,17.8282,5.4222
01/04/2016,11.8281,1.6973
02/04/2016,4.7959,-3.0111
03/04/2016,15.1006,-5.6466
04/04/2016,3.8979,-3.3113
05/04/2016,7.0602,-8.7452
06/04/2016,8.6292,1.4879
07/04/2016,4.1966,-1.0755
08/04/2016,7.2261,-2.5744
09/04/2016,4.3812,-6.3013
10/04/2016,7.3162,-2.0475
11/04/2016,11.0584,-0.0797
12/04/2016,11.164,-2.7321
13/04/2016,14.9335,-2.6142
14/04/2016,18.9794,-1.8001
15/04/2016,24.6453,1.2713
16/04/2016,28.5328,5.2652
17/04/2016,29.8529,4.0567
18/04/2016,31.1355,7.8453
19/04/2016,16.0747,9.5076
20/04/2016,23.4633,9.5623
21/04/2016,17.9115,8.7888
22/04/2016,16.4534,8.4011
23/04/2016,18.7708,2.9495
24/04/2016,24.3831,3.0696
25/04/2016,27.1368,9.5187
26/04/2016,15.8238,3.8843
27/04/2016,17.2855,2.423
28/04/2016,10.7171,2.7061
29/04/2016,14.576,5.772
30/04/2016,13.2458,4.7487
01/05/2016,11.0199,6.5267
02/05/2016,15.2841,5.4158
03/05/2016,21.248,2.2858
04/05/2016,12.7304,5.175
05/05/2016,20.8635,7.2193
06/05/2016,26.5245,3.8054
07/05/2016,25.8394,9.7016
08/05/2016,22.709,4.0149
09/05/2016,19.55,3.3282
10/05/2016,12.9411,8.6302
11/05/2016,24.0141,10.263
12/05/2016,23.209,13.3079
13/05/2016,19.5543,9.5997
14/05/2016,10.6128,4.3811
15/05/2016,10.3409,1.697
16/05/2016,22.6037,1.6136
17/05/2016,21.6434,10.1322
18/05/2016,21.3979,5.6034
19/05/2016,25.5032,3.2399
20/05/2016,24.5865,5.1569
