"z","uz"
1,1.0535005047724
1.1,1.12486645702121
1.2,1.13667209619886
1.3,1.13542205362386
1.4,1.18130777504233
1.5,1.18246578235875
1.6,1.22846279681301
1.7,1.23607631301447
1.8,1.26201744393387
1.9,1.28748389210107
2,1.24046103122432
2.1,1.24144074448218
2.2,1.27979589868979
2.3,1.30708982830302
2.4,1.29489098652491
2.5,1.31285861066735
2.6,1.3605568795988
2.7,1.36261517195927
2.8,1.35319177769762
2.9,1.38647564366292
3,1.41565977070347
3.1,1.36330232046132
3.2,1.38161000494391
3.3,1.4265022544102
3.4,1.41084818213086
3.5,1.42389218173127
3.6,1.39466590578391
3.7,1.39888145112476
3.8,1.45469305159959
3.9,1.40609018098265
4,1.40350793498272
4.1,1.4897152092719
4.2,1.41586423547346
4.3,1.50940197420164
4.4,1.48744770744952
4.5,1.44791719275044
4.6,1.53083610952166
4.7,1.45339333254514
4.8,1.45006389295159
4.9,1.53603377910616
5,1.48884181808926
5.1,1.54977805936836
5.2,1.49519990779882
5.3,1.47132755113091
5.4,1.52374621012625
5.5,1.55257146697571
5.6,1.51065906690314
5.7,1.49942905650373
5.8,1.52033559822575
5.9,1.53047292066088
6,1.59267384377809
6.1,1.58491605575483
6.2,1.57614736027157
6.3,1.53715271677608
6.4,1.52322442671628
6.5,1.57199497931231
6.6,1.52298707162592
6.7,1.5574804568522
6.8,1.56376279992517
6.9,1.57128474848146
7,1.59578040260798
7.1,1.62487372078285
7.2,1.61078858882794
7.3,1.62679553791088
7.4,1.58734660202972
7.5,1.59156386943661
7.6,1.59207546629697
7.7,1.59560779665059
7.8,1.65867485934179
7.9,1.57278145948921
8,1.60366162971326
8.1,1.66349701556986
8.2,1.62947833230904
8.3,1.61083928475813
8.4,1.63142509329545
8.5,1.59084140483983
8.6,1.66119501312441
8.7,1.65471984340413
8.8,1.69372258433431
8.9,1.62025005745622
9,1.67266849224092
9.1,1.66182245867898
9.2,1.65855632243729
9.3,1.6919651170448
9.4,1.61818391660234
9.5,1.65181888772642
9.6,1.67204943586621
9.7,1.63051573073409
9.8,1.70606571881598
9.9,1.67684082511834
10,1.71050966733647
