time,t_s,theta,Rs
18/03/2015 00:00,-1.35,23.4,0.568
18/03/2015 02:00,-1.41,23.2,0.500
18/03/2015 04:00,-1.50,23.0,0.298
18/03/2015 06:00,-1.36,22.8,0.237
18/03/2015 08:00,-1.15,22.7,0.269
18/03/2015 10:00,-1.38,22.5,0.551
18/03/2015 12:00,-1.41,22.5,0.610
18/03/2015 14:00,-1.48,22.8,0.663
18/03/2015 16:00,-1.36,23.1,0.783
18/03/2015 18:00,-1.64,23.2,0.501
18/03/2015 20:00,-1.50,23.2,0.485
18/03/2015 22:00,-1.37,23.1,0.559
19/03/2015 00:00,-1.35,23.2,1.632
19/03/2015 02:00,-1.30,24.5,2.409
19/03/2015 04:00,-1.59,25.2,2.060
19/03/2015 06:00,-1.29,24.6,1.106
19/03/2015 08:00,-1.36,24.1,1.145
19/03/2015 10:00,-1.47,23.8,1.781
19/03/2015 12:00,-1.51,23.7,1.731
19/03/2015 14:00,-1.57,23.6,1.129
19/03/2015 16:00,-1.50,23.6,0.939
19/03/2015 18:00,-1.42,23.5,0.756
19/03/2015 20:00,-1.25,23.5,0.638
19/03/2015 22:00,-1.37,23.3,0.588
20/03/2015 00:00,-1.28,23.2,0.530
20/03/2015 02:00,-1.57,23.1,0.738
20/03/2015 04:00,-1.23,23.0,0.514
20/03/2015 06:00,-1.17,22.9,0.504
20/03/2015 08:00,-1.39,22.8,0.517
20/03/2015 10:00,-1.50,22.7,0.843
20/03/2015 12:00,-1.39,22.7,0.723
20/03/2015 14:00,-1.18,22.6,0.763
20/03/2015 16:00,-1.27,22.6,0.701
20/03/2015 18:00,-1.04,22.6,0.679
20/03/2015 20:00,-1.41,22.5,0.567
20/03/2015 22:00,-1.18,22.5,0.580
21/03/2015 00:00,-0.94,22.4,0.616
21/03/2015 02:00,-1.11,22.4,0.646
21/03/2015 04:00,-1.05,22.3,0.618
21/03/2015 06:00,-1.22,22.2,0.487
21/03/2015 08:00,-1.27,22.1,0.406
21/03/2015 10:00,-0.93,22.1,0.519
21/03/2015 12:00,-1.34,22.0,0.559
21/03/2015 14:00,-1.19,21.9,0.560
21/03/2015 16:00,-1.05,21.9,0.648
21/03/2015 18:00,-1.10,21.8,0.573
21/03/2015 20:00,-1.25,21.8,0.495
21/03/2015 22:00,-0.79,21.8,0.550
22/03/2015 00:00,-1.28,21.7,0.599
22/03/2015 02:00,-1.23,21.7,0.659
22/03/2015 04:00,-0.87,21.6,0.494
22/03/2015 06:00,-1.18,21.5,0.468
22/03/2015 08:00,-1.17,21.5,0.458
22/03/2015 10:00,-0.74,21.4,0.757
