Day,ET,wnd_spd,Rn,VPD,Ta,h,VWC,G
1,9.29787234,4.337298106,-7.676595745,0.088444914,-3.721817702,0.811092623,0.28193357,11.9114817
2,8.663043478,4.016346761,-14.49130435,0.143988595,-1.227500246,0.745789793,0.279806463,10.36468693
3,11.93829787,3.22603434,-2.540425532,0.182943945,-0.941557747,0.680920491,0.27818565,9.046094979
4,10.12068966,2.033643017,-0.624137931,0.123042868,-5.180605552,0.705983179,0.276823275,9.583535138
5,9.224,3.48919644,-0.264,0.150591792,-4.86102444,0.665074248,0.274037604,9.3300586
6,4.833333333,2.270084905,-23.41190476,0.189732195,-2.603410456,0.652880481,0.26987734,8.445758381
7,8.006521739,1.443447913,13.98478261,0.307170487,1.550446774,0.574495178,0.268904185,7.980224087
8,22.55,1.348938585,14.29411765,0.169124967,1.793989129,0.750336262,0.274670731,8.036831529
9,NA,1.596813571,NA,NA,NA,NA,0.296280538,NA
10,18.18846154,5.857444346,9.092307692,0.056904105,-7.193507538,0.844790765,0.290997138,7.990312538
11,7.287234043,3.264755128,-6.721276596,0.048969529,-11.348261,0.809577751,0.283265888,7.357156617
12,9.2125,5.106376656,9.478125,0.026867617,-8.416982406,0.915933284,0.281175819,7.014589063
13,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,0.262981682,NA
21,NA,NA,NA,NA,NA,NA,0.260137833,NA
22,NA,NA,NA,NA,NA,NA,0.26550839,NA
23,NA,NA,NA,NA,NA,NA,0.263105715,NA
24,NA,NA,NA,NA,NA,NA,0.261882969,NA
25,NA,NA,NA,NA,NA,NA,0.25818975,NA
26,NA,NA,NA,NA,NA,NA,0.283120446,NA
27,NA,NA,NA,NA,NA,NA,0.280548606,NA
28,NA,NA,NA,NA,NA,NA,0.277286283,NA
29,8.4,2.357613771,-22.91428571,0.181083836,-2.107903214,0.655766893,0.275407485,1.964186286
30,6.525,3.327016214,21.65357143,0.249022732,2.539665268,0.6735051,0.27636864,1.612979964
31,25.075,2.416146913,13.0375,0.084564114,4.58295075,0.8989056,0.29406795,1.063927311
32,35.46,2.03050408,129.125,0.157939675,3.399978605,0.80978755,0.288768142,1.3688021
33,21.95,3.704428,51.475,0.128182773,1.9964885,0.821775808,0.290580981,2.26239975
34,21.53571429,4.023544679,34.375,0.08119372,1.888756701,0.891221257,0.288120719,3.856087143
35,13.25151515,2.924158364,9.321212121,0.073326999,-2.942491785,0.843791961,0.282170269,4.515409636
36,7.772972973,1.888036492,15.82702703,0.078820262,-3.368084859,0.83881877,0.275120525,2.503609676
37,11.11081081,2.313706241,57.61621622,0.167740808,-1.357779032,0.728291073,0.271859265,2.200690486
38,15.80454545,3.386706205,48.15,0.229286684,3.170869569,0.724739645,0.273688473,2.402346386
39,9.497297297,2.102542297,18.83243243,0.098693616,0.573563861,0.854330335,0.275779042,2.538405243
40,10.17659574,3.755122979,5.091489362,0.063019783,-3.694748319,0.85596294,0.274583463,2.407138362
41,10.7326087,3.612094826,-9.47826087,0.104797018,-8.297030304,0.683395422,0.271535965,5.339776543
42,11.73030303,2.150023682,16.11515152,0.093395914,-9.543921303,0.717645252,0.266121613,6.594595303
43,6.15,3.6467932,-6.153333333,0.07138298,-9.4094162,0.758393367,0.26181941,4.3685392
44,6.911428571,2.7640167,11.06571429,0.073199048,-11.86979946,0.713302549,0.256210446,3.273412143
45,8.0725,2.172026988,-5.0625,0.090396569,-11.46749908,0.672328285,0.251111265,4.178025925
46,7.41,2.02295166,2.123333333,0.031985889,-6.882624633,0.90250273,0.249457463,3.130981367
47,7.661290323,1.420976694,10.0516129,0.075637269,-2.216142226,0.86116739,0.249374923,0.648412081
48,23.46363636,2.494788818,26.20909091,0.213710032,-1.498281418,0.618358223,0.249789331,0.636526555
49,18.71351351,2.887250568,20.78918919,0.177603227,-3.041405705,0.702548792,0.247960892,1.78811637
50,40.94255319,6.293154574,56.12553191,0.415114977,7.347443191,0.623926162,0.268464185,-1.156028658
51,50.15263158,4.663643868,77.59210526,0.504977305,8.064784,0.546900882,0.279992763,-12.90400208
52,16.01388889,1.666966472,55.64722222,0.189889465,2.738195863,0.753782019,0.277763404,-4.736002155
53,18.69777778,1.582135889,52.01333333,0.17296918,0.679826629,0.752239282,0.275809821,-2.173805084
54,24.39166667,1.722381735,36.56041667,0.288714761,1.183269267,0.613329048,0.273261033,-1.742923479
55,19.3875,3.328075625,-5.88125,0.121018694,-0.820993897,0.793604278,0.271832431,0.018050791
56,22.59555556,4.655621644,12.11111111,0.070562663,-1.967655304,0.861215929,0.270172525,0.534811644
57,5.034883721,2.19032103,4.648837209,0.175544514,-2.517453249,0.660080198,0.269168688,1.974871395
58,10.56206897,4.150788448,12.07241379,0.341965517,3.065159248,0.588509286,0.269381017,2.703456793
59,29.62142857,4.938686357,32.7,0.246875969,8.123639643,0.784688657,0.280459729,-11.40509764
60,36.6787234,4.020531383,57.89361702,0.191513209,0.681315622,0.713277496,0.280366808,2.58873583
61,11.65,3.174937091,-0.440909091,0.026590366,-6.337961636,0.931945327,0.277053377,4.019650182
62,7.915625,2.369692653,2.8625,0.166689125,-5.430205625,0.62125115,0.275278585,2.09181275
63,6.113793103,1.438270497,6.644827586,0.084531779,-6.283629966,0.782066759,0.273117283,2.305641828
64,25.55416667,1.382215863,13.48333333,0.283342181,-2.215997732,0.523096083,0.271753938,1.6978535
65,22.5875,1.159043521,7.404166667,0.077663431,-0.479598267,0.868258708,0.271843444,1.323263708
66,9.011764706,3.577600035,46.93529412,0.15609373,1.175251718,0.784315441,0.270111065,1.625644647
67,0.8,2.374253,184.7,0.7807266,13.62352,0.4993277,0.279567535,1.961452
68,50.855,4.40453647,169.43,0.899426575,17.74388845,0.57415072,0.28671164,-31.513278
69,27.36296296,3.814680519,69.21851852,0.57523823,16.34786852,0.695660678,0.280642244,-19.98785852
70,21.40645161,2.405998142,51.9516129,0.202681365,8.452756194,0.815400113,0.278587835,-5.096134871
71,47.50344828,1.182069617,162.9413793,0.570413494,8.650164883,0.572334341,0.276484829,-6.547194593
72,58.19705882,1.050160312,88.18823529,0.508211145,9.427589494,0.654397618,0.27523009,-6.080070965
73,59.76896552,2.171301883,22.79655172,0.233123481,8.569383517,0.804267945,0.282333471,-3.267984759
74,33.02105263,3.772277684,61.14210526,0.1026391,9.074296421,0.913316616,0.28577864,-7.149205789
75,53.23103448,2.651921731,128.262069,0.36609179,11.31253993,0.77574389,0.281276673,-10.15749217
76,87.89047619,6.168761024,74.65,0.457629253,10.04634476,0.638500357,0.285354783,-1.80614626
77,48.17173913,5.009723783,87.54782609,0.534861607,7.14666463,0.48135393,0.28061665,3.672329563
78,34.98611111,2.382902894,120.6222222,0.274319537,3.596116038,0.694197361,0.277154946,1.528254744
79,33.01333333,2.401806291,97.70444444,0.299288609,1.369109087,0.570333367,0.275080598,3.626188933
80,29.56458333,2.398783958,91.52708333,0.291527017,0.248807325,0.579314221,0.273112242,5.903262313
81,32.75384615,2.362934905,141.0564103,0.345259828,1.930407692,0.555425459,0.271488613,1.973986531
82,20.5,2.654488422,63.9826087,0.565788341,8.2199259,0.535289526,0.270514896,-5.142886935
83,20.778125,2.860928681,30.575,0.150288186,4.179809678,0.839332513,0.269895823,1.717533525
84,79.24166667,3.016366583,36.05833333,0.013221232,2.59102994,0.98072615,0.284699885,0.915157954
85,41.975,1.60672053,120.1545455,0.204475007,0.946865427,0.727640814,0.281649471,2.033505977
86,55.74411765,1.821504009,166.5088235,0.448081474,6.636406668,0.607050353,0.278761075,-5.433287888
87,39.20238095,2.595742833,109.4904762,0.585203811,10.15483595,0.64177374,0.277594381,-8.852233431
88,27.35348837,4.186319779,27.46976744,0.101208936,4.072167002,0.877973723,0.286164538,2.985174397
89,40.47317073,1.217466544,137.4414634,0.470667838,5.554792837,0.557264293,0.280148027,-1.974251366
90,45.18181818,3.482182911,60.47272727,0.478385348,8.828883568,0.605961368,0.277926198,-5.577554932
91,57.60645161,5.273336452,49.93548387,0.159070268,12.64187248,0.896014652,0.311746129,-14.11193669
92,55.70731707,3.657516,142.6682927,0.257252639,4.903768366,0.734647329,0.284074177,4.314333252
93,44.20857143,3.617507829,29.06571429,0.124048428,-0.290757877,0.794886369,0.283857783,12.54706551
94,58.20434783,3.883083885,128.2847826,0.379860184,3.929314595,0.664094117,0.283284615,0.925224717
95,25.34222222,1.976382513,24.36444444,0.08373698,-1.232283513,0.850151078,0.279897621,7.7932712
96,50.92826087,2.208612498,136.1565217,0.29975829,-0.04667835,0.554194785,0.277777542,3.79372128
